City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mamuju,-2.6748,118.8885,299.07,88,100,2.52,ID,2024-02-02
1,adamstown,-25.066,-130.1015,297.71,83,68,4.54,PN,2024-02-02
2,ushuaia,-54.8,-68.3,278.94,98,100,1.18,AR,2024-02-02
3,fortuna,40.5982,-124.1573,282.4,96,20,0.0,US,2024-02-02
4,hammerfest,70.6634,23.6821,265.4,79,0,1.03,NO,2024-02-02
5,ancud,-41.8697,-73.8203,289.26,94,52,5.23,CL,2024-02-02
6,necochea,-38.5473,-58.7368,308.13,28,100,4.23,AR,2024-02-02
7,rawah,34.4816,41.9093,283.04,52,2,2.2,IQ,2024-02-02
8,edinburgh of the seven seas,-37.0676,-12.3116,292.14,93,16,6.15,SH,2024-02-02
9,bilibino,68.0546,166.4372,242.05,93,39,2.31,RU,2024-02-02
10,taksimo,56.3444,114.8794,248.12,94,100,0.34,RU,2024-02-02
11,susuman,62.7833,148.1667,239.81,100,95,1.34,RU,2024-02-02
12,jamestown,42.097,-79.2353,276.77,94,100,3.6,US,2024-02-02
13,luwuk,-0.9516,122.7875,299.27,84,100,1.36,ID,2024-02-02
14,blackmans bay,-43.0167,147.3167,283.22,78,5,0.45,AU,2024-02-02
15,port-aux-francais,-49.35,70.2167,280.88,96,57,7.81,TF,2024-02-02
16,priob'ye,62.5206,65.5964,255.39,96,100,5.05,RU,2024-02-02
17,carutapera,-1.195,-46.02,300.72,85,28,2.92,BR,2024-02-02
18,albany,42.6001,-73.9662,278.07,77,100,0.89,US,2024-02-02
19,ust-nera,64.5667,143.2,245.18,100,100,1.39,RU,2024-02-02
20,papatowai,-46.5619,169.4708,281.15,80,100,3.91,NZ,2024-02-02
21,margaret river,-33.95,115.0667,291.0,95,88,3.61,AU,2024-02-02
22,machina,13.1364,10.0492,293.92,15,1,4.42,NG,2024-02-02
23,afaahiti,-17.75,-149.2833,302.08,75,100,4.37,PF,2024-02-02
24,port alfred,-33.5906,26.891,297.49,84,100,10.48,ZA,2024-02-02
25,longyearbyen,78.2186,15.6401,262.06,79,75,2.57,SJ,2024-02-02
26,gamay,12.3854,125.2979,297.8,91,87,2.64,PH,2024-02-02
27,rosetta,31.4044,30.4164,286.85,71,61,4.29,EG,2024-02-02
28,grytviken,-54.2811,-36.5092,280.47,53,95,8.3,GS,2024-02-02
29,college,64.8569,-147.8028,230.12,61,75,0.0,US,2024-02-02
30,xai-xai,-25.0519,33.6442,296.78,77,78,3.08,MZ,2024-02-02
31,forster,-32.1667,152.5167,294.42,79,67,4.03,AU,2024-02-02
32,bethel,41.3712,-73.414,279.35,81,100,4.12,US,2024-02-02
33,vorgashor,67.5833,63.95,256.25,92,100,2.82,RU,2024-02-02
34,brazil,39.5237,-87.125,283.37,72,20,5.14,US,2024-02-02
35,santa cruz,-17.8,-63.1667,311.35,23,7,2.19,BO,2024-02-02
36,thompson,55.7435,-97.8558,272.24,93,100,3.6,CA,2024-02-02
37,gunnison,38.7,-107.0673,275.88,73,100,1.38,US,2024-02-02
38,takoradi,4.8845,-1.7554,300.62,83,0,4.0,GH,2024-02-02
39,oskarshamn,57.2645,16.4484,280.92,81,100,8.33,SE,2024-02-02
40,kongens lyngby,55.7704,12.5038,281.23,89,100,9.26,DK,2024-02-02
